題號,題目
v14_3_05,[v14_3_05]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (3)在實際生活(非網路)中，你喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第5位
v14_4_01,[v14_4_01]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (4)在實際生活(非網路)中，你不喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第1位
v14_4_02,[v14_4_02]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (4)在實際生活(非網路)中，你不喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第2位
v14_4_03,[v14_4_03]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (4)在實際生活(非網路)中，你不喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第3位
v14_4_04,[v14_4_04]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (4)在實際生活(非網路)中，你不喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第4位
v14_4_05,[v14_4_05]以下要了解你與班上同學在網路上以及實際生活中的相處狀況，請選出你最喜歡與最不喜歡的同學座號，最多可以選擇五位。 (4)在實際生活(非網路)中，你不喜歡跟班上哪些同學互動（例如分組同組、一起吃飯、討論功課、聊心事等）？第5位
v15,[v15]你上學期的平均成績大約如何？
v16,[v16]家長對你的學業成績有些甚麼要求？
kv16,[kv16]家長對你的學業成績有些甚麼要求？
v17,[v17]上八年級以來，你有沒有參加校外補習（包含家教與家教班）？
v17_01,[v17_01]你補那幾科？【可複選】 (1)數學
v17_02,[v17_02]你補那幾科？【可複選】 (2)英語
v17_03,[v17_03]你補那幾科？【可複選】 (3)理化
v17_04,[v17_04]你補那幾科？【可複選】 (4)國文
v17_05,[v17_05]你補那幾科？【可複選】 (5)社會（史、地、公）
v17_06,[v17_06]你補那幾科？【可複選】 (6)資訊/電腦
v17_07,[v17_07]你補那幾科？【可複選】 (7)其他
v18_1,[v18_1]請問父母對你下列未來發展的期望程度如何? (1)父母期望我的學業成就可以令他們引以自豪
v18_2,[v18_2]請問父母對你下列未來發展的期望程度如何? (2)父母期望我將來可以有一份高薪的工作
v18_3,[v18_3]請問父母對你下列未來發展的期望程度如何? (3)父母期望我將來可以分擔家庭的經濟
v18_4,[v18_4]請問父母對你下列未來發展的期望程度如何? (4)父母期望我可以光宗耀祖
v19_1,[v19_1]請問以下敘述是否符合對你家長的情形？ (1)家長知道我在學校主要的授課老師是誰
v19_2,[v19_2]請問以下敘述是否符合對你家長的情形？ (2)家長知道我在學校的學習狀況 (例如:是否跟得上進度?)
v19_3,[v19_3]請問以下敘述是否符合對你家長的情形？ (3)家長知道我在學校的課業內容 (例如:現在教到哪裡?)
v19_4,[v19_4]請問以下敘述是否符合對你家長的情形？ (4)家長會參加學校的家長會/學校日
v19_5,[v19_5]請問以下敘述是否符合對你家長的情形？ (5)家長會為班上的活動或設備出錢出力
v19_6,[v19_6]請問以下敘述是否符合對你家長的情形？ (6)家長會到學校擔任義工/志工
v19_7,[v19_7]請問以下敘述是否符合對你家長的情形？ (7)家長會花時間在我的學校功課上
v19_8,[v19_8]請問以下敘述是否符合對你家長的情形？ (8)家長會幫我看聯絡簿
v19_9,[v19_9]請問以下敘述是否符合對你家長的情形？ (9)家長會幫我買課本以外的評量、測驗卷等補充教材
v19_10,[v19_10]請問以下敘述是否符合對你家長的情形？ (10)家長會上網幫我搜尋相關的教學材料或教學平台
v20_1_1,[v20_1_1]關於上網，你父親和你有沒有以下的情形？ (1)會規定你什麼時候可以上網，什麼時候不行
v20_1_2,[v20_1_2]關於上網，你父親和你有沒有以下的情形？ (2)會限制你上網時間的長短
v20_1_3,[v20_1_3]關於上網，你父親和你有沒有以下的情形？ (3)會和你一起聊網路上發生的趣聞或事件
v20_1_4,[v20_1_4]關於上網，你父親和你有沒有以下的情形？ (4)會陪你一起上網查資料或做作業
v20_1_5,[v20_1_5]關於上網，你父親和你有沒有以下的情形？ (5)會鼓勵你上網
v20_1_6,[v20_1_6]關於上網，你父親和你有沒有以下的情形？ (6)會和你討論使用網路的情形和心得
v20_1_7,[v20_1_7]關於上網，你父親和你有沒有以下的情形？ (7)擔心你上網會產生健康問題（如：眼睛、體能）
v20_1_8,[v20_1_8]關於上網，你父親和你有沒有以下的情形？ (8)擔心你課業成績會因為上網而有不好影響
v20_1_9,[v20_1_9]關於上網，你父親和你有沒有以下的情形？ (9)會問你在網上做什麼
v20_1_10,[v20_1_10]關於上網，你父親和你有沒有以下的情形？ (10)會查看你的網頁瀏覽記錄
v20_1_11,[v20_1_11]關於上網，你父親和你有沒有以下的情形？ (11)會因為你上網而責罵你
v20_1_12,[v20_1_12]關於上網，你父親和你有沒有以下的情形？ (12)會因為你在網路購物而和你起衝突
v20_2_1,[v20_2_1]關於上網，你母親和你有沒有以下的情形？ (1)會規定你什麼時候可以上網，什麼時候不行
v20_2_2,[v20_2_2]關於上網，你母親和你有沒有以下的情形？ (2)會限制你上網時間的長短
v20_2_3,[v20_2_3]關於上網，你母親和你有沒有以下的情形？ (3)會和你一起聊網路上發生的趣聞或事件
v20_2_4,[v20_2_4]關於上網，你母親和你有沒有以下的情形？ (4)會陪你一起上網查資料或做作業
v20_2_5,[v20_2_5]關於上網，你母親和你有沒有以下的情形？ (5)會鼓勵你上網
v20_2_6,[v20_2_6]關於上網，你母親和你有沒有以下的情形？ (6)會和你討論使用網路的情形和心得
v20_2_7,[v20_2_7]關於上網，你母親和你有沒有以下的情形？ (7)擔心你上網會產生健康問題（如：眼睛、體能）
v20_2_8,[v20_2_8]關於上網，你母親和你有沒有以下的情形？ (8)擔心你課業成績會因為上網而有不好影響
v20_2_9,[v20_2_9]關於上網，你母親和你有沒有以下的情形？ (9)會問你在網上做什麼
v20_2_10,[v20_2_10]關於上網，你母親和你有沒有以下的情形？ (10)會查看你的網頁瀏覽記錄
v20_2_11,[v20_2_11]關於上網，你母親和你有沒有以下的情形？ (11)會因為你上網而責罵你
v20_2_12,[v20_2_12]關於上網，你母親和你有沒有以下的情形？ (12)會因為你在網路購物而和你起衝突
v21_1,[v21_1]在平日(上學日)，請問你每天花多少時間上網完成學校功課（查找完成作業需要的資料）
v21_2,[v21_2]在平日(上學日)，請問你每天花多少時間上網做課外的學習（各種線上付費或免費的課程）
v21_3,[v21_3]在平日(上學日)，請問你每天花多少時間上網玩線上遊戲
v21_4,[v21_4]在平日(上學日)，請問你每天花多少時間上網看影片、聽音樂、迷因梗圖、卡通、漫畫
v21_5,[v21_5]在平日(上學日)，請問你每天花多少時間上網和他人聊天（傳訊息）
v21_6,[v21_6]在平日(上學日)，請問你每天花多少時間在網路上瀏覽自己有興趣的資訊
v22_1,[v22_1]當你在現實生活遇到困難感到憂慮時，你會上網： (1)找人聊天給你支持或安慰
v22_2,[v22_2]當你在現實生活遇到困難感到憂慮時，你會上網： (2)找人討論問題，設法解決困難
v22_3,[v22_3]當你在現實生活遇到困難感到憂慮時，你會上網： (3)搜尋相關的資訊，設法解決困難
v22_4,[v22_4]當你在現實生活遇到困難感到憂慮時，你會上網： (4)瀏覽跟困難無關的資訊，轉移自己的注意力
v22_5,[v22_5]當你在現實生活遇到困難感到憂慮時，你會上網： (5)玩遊戲來減少困擾或壓力感受
v22_6,[v22_6]當你在現實生活遇到困難感到憂慮時，你會上網： (6)購物來改善心情或壓力感受
v23_1,[v23_1]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (1)我只會發布自己看起來高興、愉快的照片
v23_2,[v23_2]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (2)我會刻意選擇自己看起來好看的照片發佈
v23_3,[v23_3]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (3)我會發佈對自己形象加分的訊息，即使那不是真實的情況
v23_4,[v23_4]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (4)我不會介意發佈自己不太好看的照片
v23_5,[v23_5]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (5)我不介意發佈可能對自己形象扣分的貼文
v23_6,[v23_6]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (6)我不介意在我的社群媒體上寫下發生在我身上的壞事
v23_7,[v23_7]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (7)我會用不被發現的方式，瀏覽人們在網路上的訊息
v23_8,[v23_8]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (8)我會隱藏自己正在線上活動的紀錄
v23_9,[v23_9]關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (9)我會避免加入朋友們在社群媒體上的對話，即便我正在看著他們的訊息
v24_1,[v24_1]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (1)我對自己感到的價值，很大程度是取決於他人對我的看法
v24_2,[v24_2]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (2)我擔心自己的言論或行為會受到批評
v24_3,[v24_3]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (3)當我更新狀態而沒有人回應我時，我會感到失望
v24_4,[v24_4]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (4)我經常檢查我的貼文有沒有獲得新的回應
v24_5,[v24_5]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (5)如果人們認識真實的我，他們會對我失去興趣
v24_6,[v24_6]關於你在社群媒體上與人們的互動，以下敘述符不符合你的感受。 (6)發佈任何內容之前，我都會感到焦慮
v25_1,[v25_1]以下描述符不符合你的個人經驗感受呢？ (1)我喜歡自己在網路上的形象
v25_2,[v25_2]以下描述符不符合你的個人經驗感受呢？ (2)我在網路上可以表現出我最好的一面
v25_3,[v25_3]以下描述符不符合你的個人經驗感受呢？ (3)在網路世界中我覺得自己可以成為理想的自己
v25_4,[v25_4]以下描述符不符合你的個人經驗感受呢？ (4)我喜歡自己在現實生活裡的形象
v25_5,[v25_5]以下描述符不符合你的個人經驗感受呢？ (5)我在現實生活裡可以表現出我最好的一面
v25_6,[v25_6]以下描述符不符合你的個人經驗感受呢？ (6)在現實生活裡我覺得自己可以成為理想的自己
v25_7,[v25_7]以下描述符不符合你的個人經驗感受呢？ (7)我在網路世界裡經常會扮演成不一樣的角色
v25_8,[v25_8]以下描述符不符合你的個人經驗感受呢？ (8)我在不同的社群媒體中（如臉書、IG）會有不一樣的形象
v25_9,[v25_9]以下描述符不符合你的個人經驗感受呢？ (9)我喜歡在網路上擁有多種不一樣的身分、形象或樣貌
v25_10,[v25_10]以下描述符不符合你的個人經驗感受呢？ (10)我在網路上呈現自我的方式，與在現實生活的自我並不相同
v25_11,[v25_11]以下描述符不符合你的個人經驗感受呢？ (11)我覺得我在網絡世界和現實世界中是不同的人
v25_12,[v25_12]以下描述符不符合你的個人經驗感受呢？ (12)我在網路世界中表現出與現實世界中截然不同的言行舉止
v25_13,[v25_13]以下描述符不符合你的個人經驗感受呢？ (13)比起在現實生活，我覺得自己在網路上比較輕鬆自在
v25_14,[v25_14]以下描述符不符合你的個人經驗感受呢？ (14)我喜歡在網路上的生活，勝過於現實中的生活
v25_15,[v25_15]以下描述符不符合你的個人經驗感受呢？ (15)如果可以，我希望自己可以一直待在網路上
v26_1,[v26_1]關於你在網路上的意見表達，以下敘述你同不同意？ (1)我經常會在網路上和他人比較自己在生活上獲得的成就
v26_2,[v26_2]關於你在網路上的意見表達，以下敘述你同不同意？ (2)我總是在網路上留意他人的表現，並和自己的表現進行比較
v26_3,[v26_3]關於你在網路上的意見表達，以下敘述你同不同意？ (3)我經常在網路上和他人比較自己受歡迎的程度
v26_4,[v26_4]關於你在網路上的意見表達，以下敘述你同不同意？ (4)如果我想要更瞭解某些事情，我會試著去網路上看看別人的想法
v26_5,[v26_5]關於你在網路上的意見表達，以下敘述你同不同意？ (5)我總是好奇網路上的人們在和我遇到相同的問題時會怎麼想或怎麼做
v26_6,[v26_6]關於你在網路上的意見表達，以下敘述你同不同意？ (6)我喜歡在網路上看看其他人的不同觀點和經歷
v27_1,[v27_1]你同不同意以下說法？ (1)沒跟上朋友們在網路上聊天或開玩笑的話題，會讓我感到很焦慮
v27_2,[v27_2]你同不同意以下說法？ (2)錯過和朋友們在網路上的聚會，會讓我感到很困擾
v27_3,[v27_3]你同不同意以下說法？ (3)我會隨時透過網路追蹤朋友們的行蹤和做的事情
v27_4,[v27_4]你同不同意以下說法？ (4)沒跟上網路上的首播、直播或活動，我會感到很困擾
v28_1,[v28_1]關於上網，以下敘述符不符合你的情形？ (1)想上網而無法上網的時候，我就會感到坐立不安
v28_2,[v28_2]關於上網，以下敘述符不符合你的情形？ (2)只要有一段時間沒有上網，我就會覺得心裡不舒服
v28_3,[v28_3]關於上網，以下敘述符不符合你的情形？ (3)我只要超過一天沒上網玩，就會很難受
v28_4,[v28_4]關於上網，以下敘述符不符合你的情形？ (4)發現自己上網休閒的時間越來越長
v28_5,[v28_5]關於上網，以下敘述符不符合你的情形？ (5)平均而言，我每周上網休閒的時間比以前增加許多
v28_6,[v28_6]關於上網，以下敘述符不符合你的情形？ (6)我實際上網所花的時間遠遠超過原來預期的時間
v28_7,[v28_7]關於上網，以下敘述符不符合你的情形？ (7)上網對我的學業或工作已造成一些負面的影響
v28_8,[v28_8]關於上網，以下敘述符不符合你的情形？ (8)上網已經很明顯地危害到我的生理或心理健康
v28_9,[v28_9]關於上網，以下敘述符不符合你的情形？ (9)因為上網的關係，我和家人及朋友的互動減少了
v28_10,[v28_10]關於上網，以下敘述符不符合你的情形？ (10)我常因熬夜上網休閒，導致白天精神或體力很差
v29_1,[v29_1]以下有關於你最要好的朋友的描述，你同不同意？ (1)當我需要幫助或忠告時，我可以依賴他(們)
v29_2,[v29_2]以下有關於你最要好的朋友的描述，你同不同意？ (2)他(們)有時候會惹事生非
v29_3,[v29_3]以下有關於你最要好的朋友的描述，你同不同意？ (3)他(們)關心我
v29_4,[v29_4]以下有關於你最要好的朋友的描述，你同不同意？ (4)我常會得到他(們)的幫忙
v29_5,[v29_5]以下有關於你最要好的朋友的描述，你同不同意？ (5)我受到挫折時，總可以從(他)們那裡得到安慰
v30,[v30]請問你認為現實生活中你的朋友是可以信任的，還是與他們來往時要儘量小心？
v31,[v31]請問你認為現實生活中的陌生人是可以信任的，還是與他們來往時要儘量小心？
v32,[v32]請問你認為網路世界中你的朋友是可以信任的，還是與他們來往時要儘量小心？
v33,[v33]請問你認為網路世界中的陌生人是可以信任的，還是與他們來往時要儘量小心？
v34,[v34]上八年級以來，你曾在實際生活中(非網上)，被其他人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕加入討論或活動嗎？
v35_1,[v35_1]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (1)別人用髒話罵或威脅我
v35_2,[v35_2]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (2)別人說我的壞話
v35_3,[v35_3]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (3)不讓我加入討論、活動或不准別人跟我說話、一起行動
v35_4,[v35_4]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (4)被嘲笑外表或言行舉止
v35_5,[v35_5]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (5)被嘲笑我喜歡某個人
v35_6,[v35_6]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (6)故意破壞我的東西或故意藏起來
v35_7,[v35_7]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (7)勒索或強要我的東西
v35_8,[v35_8]上八年級以來，你曾在實際生活中(非網上)遇到這樣的事情嗎？ (8)被某人肢體攻擊
v36,[v36]上八年級以來，你曾在實際生活中(非網上)，對別人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕讓某個人加入討論或活動嗎？
v37_1,[v37_1]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (1)用髒話罵或威脅某人
v37_2,[v37_2]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (2)說某人的壞話
v37_3,[v37_3]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (3)不讓某人加入活動、討論事情或不准別人跟某人說話、一起行動
v37_4,[v37_4]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (4)嘲笑某人的外貌或言行舉止
v37_5,[v37_5]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (5)嘲笑某人他喜歡某個人
v37_6,[v37_6]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (6)故意破壞某人的東西或故意藏起來
v37_7,[v37_7]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (7)勒索或強要某人的東西
v37_8,[v37_8]上八年級以來，你曾在實際生活中(非網上)對別人做過這樣的事嗎？ (8)對某人肢體攻擊
v38,[v38]上八年級以來，你曾在網路上，被其他人辱罵、惡意取笑、拒絕加入討論、散布丟臉的影片、發布不實的訊息嗎？
v39_1,[v39_1]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (1)別人用髒話罵或威脅我
v39_2,[v39_2]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (2)別人說我的壞話
v39_3,[v39_3]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (3)不讓我加入討論
v39_4,[v39_4]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (4)被嘲笑外表、言行舉止
v39_5,[v39_5]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (5)被嘲笑我喜歡某人
v39_6,[v39_6]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (6)在網路散布使我丟臉的照片或影片
