student_id,qb_code,q_name,school_id,school_name,class
s112011301024,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301025,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301026,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301028,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301031,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301032,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301033,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301034,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301035,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301037,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301038,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301039,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301040,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301042,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301043,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301044,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301045,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301046,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301047,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301048,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301049,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301050,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301052,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301054,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301055,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301056,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301057,CO01,2024,11301,私立淡江高中附設國中,801.0
s112011301061,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301062,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301063,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301064,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301065,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301067,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301068,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301069,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301070,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301071,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301072,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301073,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301074,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301075,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301076,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301078,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301079,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301080,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301081,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301082,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301083,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301084,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301086,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301087,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301088,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301089,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301090,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011301094,CO01,2024,11301,私立淡江高中附設國中,805.0
s112011306023,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306026,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306027,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306029,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306034,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306037,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306038,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306039,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306042,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306043,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306044,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306045,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306046,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306049,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306050,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306051,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306053,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306054,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306055,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306056,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306057,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011306058,CO01,2024,11306,私立金陵女中附設國中,108.0
s112011324025,CO01,2024,11324,私立竹林高中附設國中,國二忠
s112011324026,CO01,2024,11324,私立竹林高中附設國中,國二忠
s112011324027,CO01,2024,11324,私立竹林高中附設國中,國二忠
