Item,Correlation,Abs_Correlation,Question_Text
58-5,-0.4492157216999569,0.4492157216999569,58-5.過去一個月來，你整體的睡眠品質好不好？
50,-0.4299518838862238,0.4299518838862238,50.整體來說，你覺得最近的日子過得快樂嗎？
55-4,-0.4217980728722734,0.4217980728722734,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-4.我醒來感到神清氣爽並有充分休息。
52-3,-0.4164193516775604,0.4164193516775604,52.下列是有關你對自己的描述，你同不同意？ - 52-3.我很滿意我自己。
55-3,-0.4160696068185248,0.4160696068185248,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-3.我感到有活力且精力充沛。
51,-0.4096671473180678,0.4096671473180678,51.整體而言，你覺得自己目前的健康狀況如何？
55-2,-0.4019638241010621,0.4019638241010621,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-2.我感到心情平靜和放鬆。
55-5,-0.3932132804822652,0.3932132804822652,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-5.我的日常生活中充滿讓我感興趣的事物。
52-2,-0.3904475118271773,0.3904475118271773,52.下列是有關你對自己的描述，你同不同意？ - 52-2.我用積極樂觀的態度看待我自己。
49,-0.3829334810926676,0.3829334810926676,49.整體來說，你對自己的生活感到滿意嗎？
55-1,-0.379118604651459,0.379118604651459,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-1.我感到情緒開朗且精神不錯。
52-1,-0.3628252210796697,0.3628252210796697,52.下列是有關你對自己的描述，你同不同意？ - 52-1.我是個有價值（有用）的人。
5-6,0.2533297982817989,0.2533297982817989,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。
53-4,-0.2502626350490851,0.2502626350490851,53.你有多同意下列的敘述？ - 53-4.當我難過的時候，我知道如何讓自己感覺好一點。
53-5,-0.2419475858462289,0.2419475858462289,53.你有多同意下列的敘述？ - 53-5.我知道如何讓自己平靜下來。
53-8,-0.237071430475073,0.237071430475073,53.你有多同意下列的敘述？ - 53-8.我會達成自己所設定的目標。
53-6,-0.2320301689231633,0.2320301689231633,53.你有多同意下列的敘述？ - 53-6.當我感到沮喪時，我會調整自己以度過低潮。
37-4,0.230341614020663,0.230341614020663,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-4.嘲笑某人的外貌、言行舉止。
5-1,0.2302816508743496,0.2302816508743496,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。
53-12,-0.2274641819547445,0.2274641819547445,53.你有多同意下列的敘述？ - 53-12.在學校有困難或問題時，我會找老師或認識的大人聊聊。
35-4,0.2186602919086277,0.2186602919086277,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-4.被嘲笑外貌、言行舉止。
30,0.2125101258126466,0.2125101258126466,30.上九年級以來，你曾在現實生活中(非網上)，被其他人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕加入討論或活動嗎？
29-1,0.2123239527017745,0.2123239527017745,29.關於上網，以下敘述符不符合你的情形？ - 29-1.想上網而無法上網的時候，我就會感到坐立不安。
4-5,-0.2116001503379398,0.2116001503379398,4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰
29-2,0.211382993476105,0.211382993476105,29.關於上網，以下敘述符不符合你的情形？ - 29-2.只要有一段時間沒有上網，我就會覺得心裡不舒服。
29-6,0.2103259691199,0.2103259691199,29.關於上網，以下敘述符不符合你的情形？ - 29-6.我實際上網所花的時間遠遠超過原來預期的時間。
29-10,0.2062204841602581,0.2062204841602581,29.關於上網，以下敘述符不符合你的情形？ - 29-10.我常因熬夜上網休閒，導致白天精神或體力很差。
31-2,0.2032182632980274,0.2032182632980274,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-2.別人說我的壞話。
