Item,Correlation,Abs_Correlation
58-5,-0.44921572169995694,0.44921572169995694
50,-0.42995188388622385,0.42995188388622385
55-4,-0.4217980728722734,0.4217980728722734
52-3,-0.41641935167756045,0.41641935167756045
55-3,-0.41606960681852484,0.41606960681852484
51,-0.4096671473180678,0.4096671473180678
55-2,-0.40196382410106213,0.40196382410106213
55-5,-0.3932132804822652,0.3932132804822652
52-2,-0.3904475118271773,0.3904475118271773
49,-0.3829334810926676,0.3829334810926676
55-1,-0.379118604651459,0.379118604651459
52-1,-0.3628252210796697,0.3628252210796697
5-6,0.25332979828179897,0.25332979828179897
53-4,-0.2502626350490851,0.2502626350490851
53-5,-0.24194758584622894,0.24194758584622894
53-8,-0.237071430475073,0.237071430475073
53-6,-0.23203016892316333,0.23203016892316333
37-4,0.23034161402066308,0.23034161402066308
5-1,0.23028165087434965,0.23028165087434965
53-12,-0.22746418195474455,0.22746418195474455
35-4,0.21866029190862774,0.21866029190862774
30,0.21251012581264664,0.21251012581264664
29-1,0.21232395270177454,0.21232395270177454
4-5,-0.21160015033793986,0.21160015033793986
29-2,0.21138299347610504,0.21138299347610504
29-6,0.2103259691199,0.2103259691199
29-10,0.2062204841602581,0.2062204841602581
31-2,0.2032182632980274,0.2032182632980274
53-16,-0.20207143433641528,0.20207143433641528
29-5,0.20147133324954486,0.20147133324954486
29-4,0.199399424011517,0.199399424011517
35-6,0.1993043912265225,0.1993043912265225
5-2,-0.19753434719142088,0.19753434719142088
29-3,0.19487194133495594,0.19487194133495594
35-1,0.1947586941205141,0.1947586941205141
61-3,-0.19283710412787777,0.19283710412787777
28-1,0.19220827460926884,0.19220827460926884
34,0.18924685138069805,0.18924685138069805
13,0.1883680518412808,0.1883680518412808
29-9,0.18383762151751884,0.18383762151751884
35-2,0.18370281833681756,0.18370281833681756
26-14,0.18365563964412385,0.18365563964412385
5-3,-0.1831716941052197,0.1831716941052197
31-3,0.18214259703747082,0.18214259703747082
35-5,0.18211274591096704,0.18211274591096704
53-9,-0.18181013331573664,0.18181013331573664
4-6,-0.18175222909975647,0.18175222909975647
5-5,0.18133465291182713,0.18133465291182713
53-7,-0.18063513541841675,0.18063513541841675
26-13,0.17834713329622007,0.17834713329622007
27-2,0.17571939988673968,0.17571939988673968
43-2,0.1748076828824167,0.1748076828824167
29-7,0.1747477249667299,0.1747477249667299
28-2,0.1734683561924868,0.1734683561924868
53-10,-0.17329829688281578,0.17329829688281578
39_13,-0.17318298503078228,0.17318298503078228
31-1,0.17243366780725441,0.17243366780725441
37-6,0.1718422108262932,0.1718422108262932
5-4,-0.17136499694757226,0.17136499694757226
31-4,0.17098266771631654,0.17098266771631654
4-1,-0.17057073343535722,0.17057073343535722
37-2,0.17045449592661407,0.17045449592661407
35-3,0.17031832097593755,0.17031832097593755
53-20,-0.16957272158600328,0.16957272158600328
53-11,-0.16752904158418158,0.16752904158418158
11-2,-0.1652690924550761,0.1652690924550761
4-2,-0.16391734325016008,0.16391734325016008
31-5,0.16248606783215874,0.16248606783215874
1,0.16164872877489658,0.16164872877489658
61-1,-0.161302372248432,0.161302372248432
4-3,-0.16035081700283582,0.16035081700283582
4-4,-0.15939504201068413,0.15939504201068413
32,0.15858104153004102,0.15858104153004102
60-5,-0.15852307901032647,0.15852307901032647
37-3,0.1582027811415844,0.1582027811415844
29-8,0.15769487525111733,0.15769487525111733
61-2,-0.15522318945825703,0.15522318945825703
26-15,0.15400129596890016,0.15400129596890016
28-3,0.15382897544186777,0.15382897544186777
26-11,0.14911250839178636,0.14911250839178636
37-5,0.1483887112076732,0.1483887112076732
53-13,-0.14791905800174876,0.14791905800174876
37-1,0.14670785526344932,0.14670785526344932
38-6,0.1465854720785972,0.1465854720785972
26-10,0.1460554402058295,0.1460554402058295
59,0.14561859876351424,0.14561859876351424
5-10,-0.14371846075426056,0.14371846075426056
37-7,0.14337419881705554,0.14337419881705554
5-8,0.14300314982056989,0.14300314982056989
42_5,0.14298995703351552,0.14298995703351552
38-8,0.14286528074105032,0.14286528074105032
38-10,0.1421848314329607,0.1421848314329607
60-1,-0.13844602067412226,0.13844602067412226
48,-0.13842870049738093,0.13842870049738093
33-1,0.13792871979399693,0.13792871979399693
36,0.1374376264958953,0.1374376264958953
38-4,0.13533851292983298,0.13533851292983298
25-7,0.13485844228347954,0.13485844228347954
60-4,-0.1343648661386543,0.1343648661386543
6-3,-0.13267744810627188,0.13267744810627188
43-3,0.13204920343660675,0.13204920343660675
38-1,0.131654949546416,0.131654949546416
63,0.13129473972356057,0.13129473972356057
26-12,0.12989691211118887,0.12989691211118887
31-7,0.12884707789726024,0.12884707789726024
33-7,0.12681777101238823,0.12681777101238823
25-8,0.1264961028979099,0.1264961028979099
26-6,-0.12551062781229383,0.12551062781229383
11-6,-0.12514304414174662,0.12514304414174662
19-1_11,0.12485559904768409,0.12485559904768409
33-4,0.12476625191184547,0.12476625191184547
35-7,0.12461996504484175,0.12461996504484175
_______點_______分.2,-0.12446317274250213,0.12446317274250213
33-8,0.12439227173667367,0.12439227173667367
26-7,0.12431324142891112,0.12431324142891112
38-5,0.1233856742205682,0.1233856742205682
6-1,-0.1232870525913096,0.1232870525913096
19-2_11,0.12269947955887225,0.12269947955887225
60-2,-0.12224657276043871,0.12224657276043871
11-1,-0.12141770829266435,0.12141770829266435
64,-0.1188529071312274,0.1188529071312274
2,0.11811714756253337,0.11811714756253337
25-9,0.1160939882618458,0.1160939882618458
31-8,0.11494065393726006,0.11494065393726006
26-5,-0.1147155670905018,0.1147155670905018
25-2,0.11435450502488391,0.11435450502488391
19-2_12,0.11425155997112775,0.11425155997112775
